,number,lumiblock,run,era
36242,185510931.0,100.0,305840.0,JetHT_Run2017F
36243,184527015.0,100.0,305840.0,JetHT_Run2017F
36244,193336288.0,104.0,305840.0,JetHT_Run2017F
36245,193331507.0,104.0,305840.0,JetHT_Run2017F
36246,199795380.0,109.0,305840.0,JetHT_Run2017F
36247,201651328.0,110.0,305840.0,JetHT_Run2017F
36248,201370769.0,110.0,305840.0,JetHT_Run2017F
36249,220533821.0,120.0,305840.0,JetHT_Run2017F
36250,219504437.0,120.0,305840.0,JetHT_Run2017F
36251,221438486.0,121.0,305840.0,JetHT_Run2017F
36252,222937571.0,122.0,305840.0,JetHT_Run2017F
36253,223695344.0,122.0,305840.0,JetHT_Run2017F
36254,223815448.0,122.0,305840.0,JetHT_Run2017F
36255,225472719.0,123.0,305840.0,JetHT_Run2017F
36256,131223679.0,70.0,305840.0,JetHT_Run2017F
36257,130029837.0,70.0,305840.0,JetHT_Run2017F
36258,134557622.0,72.0,305840.0,JetHT_Run2017F
36259,136684836.0,73.0,305840.0,JetHT_Run2017F
36892,298169516.0,209.0,305902.0,JetHT_Run2017F
36893,297929168.0,209.0,305902.0,JetHT_Run2017F
36894,300839914.0,211.0,305902.0,JetHT_Run2017F
36895,322329284.0,223.0,305902.0,JetHT_Run2017F
36896,324536218.0,224.0,305902.0,JetHT_Run2017F
36897,324208837.0,224.0,305902.0,JetHT_Run2017F
36898,324087202.0,224.0,305902.0,JetHT_Run2017F
36899,327962111.0,226.0,305902.0,JetHT_Run2017F
36900,337368158.0,231.0,305902.0,JetHT_Run2017F
36901,382930850.0,258.0,305902.0,JetHT_Run2017F
36902,383078009.0,258.0,305902.0,JetHT_Run2017F
36903,384040908.0,258.0,305902.0,JetHT_Run2017F
36904,385981893.0,259.0,305902.0,JetHT_Run2017F
36905,289173561.0,204.0,305902.0,JetHT_Run2017F
36906,289224349.0,204.0,305902.0,JetHT_Run2017F
36907,399337460.0,267.0,305902.0,JetHT_Run2017F
36908,400680963.0,268.0,305902.0,JetHT_Run2017F
36909,401170560.0,268.0,305902.0,JetHT_Run2017F
36910,404140851.0,270.0,305902.0,JetHT_Run2017F
36911,421061287.0,279.0,305902.0,JetHT_Run2017F
36912,453651038.0,298.0,305902.0,JetHT_Run2017F
36913,250758214.0,182.0,305902.0,JetHT_Run2017F
36914,249836656.0,182.0,305902.0,JetHT_Run2017F
36915,257680182.0,186.0,305902.0,JetHT_Run2017F
36916,257644813.0,186.0,305902.0,JetHT_Run2017F
36917,256497935.0,186.0,305902.0,JetHT_Run2017F
36918,261964643.0,189.0,305902.0,JetHT_Run2017F
36919,263023165.0,189.0,305902.0,JetHT_Run2017F
36920,267214452.0,192.0,305902.0,JetHT_Run2017F
36921,285167572.0,202.0,305902.0,JetHT_Run2017F
36922,285384289.0,202.0,305902.0,JetHT_Run2017F
36923,208242613.0,158.0,305902.0,JetHT_Run2017F
36924,208746248.0,158.0,305902.0,JetHT_Run2017F
36925,217901911.0,164.0,305902.0,JetHT_Run2017F
36926,292785545.0,206.0,305902.0,JetHT_Run2017F
36927,294985830.0,208.0,305902.0,JetHT_Run2017F
36928,294984352.0,208.0,305902.0,JetHT_Run2017F
37195,30244595.0,16.0,306041.0,JetHT_Run2017F
37196,31191279.0,16.0,306041.0,JetHT_Run2017F
37197,31565546.0,16.0,306041.0,JetHT_Run2017F
37198,39646753.0,21.0,306041.0,JetHT_Run2017F
37199,40393267.0,21.0,306041.0,JetHT_Run2017F
37200,40864586.0,22.0,306041.0,JetHT_Run2017F
37201,70882623.0,37.0,306041.0,JetHT_Run2017F
37202,73988830.0,38.0,306041.0,JetHT_Run2017F
37203,77360132.0,40.0,306041.0,JetHT_Run2017F
37204,77576797.0,40.0,306041.0,JetHT_Run2017F
37205,79204606.0,41.0,306041.0,JetHT_Run2017F
37206,82467951.0,42.0,306041.0,JetHT_Run2017F
37207,99929565.0,51.0,306041.0,JetHT_Run2017F
37208,99478896.0,51.0,306041.0,JetHT_Run2017F
37209,108210585.0,55.0,306041.0,JetHT_Run2017F
37210,124631496.0,64.0,306041.0,JetHT_Run2017F
37211,124477025.0,64.0,306041.0,JetHT_Run2017F
37212,147922198.0,76.0,306041.0,JetHT_Run2017F
37213,4819673.0,3.0,306041.0,JetHT_Run2017F
37214,9441749.0,5.0,306041.0,JetHT_Run2017F
37215,8611026.0,5.0,306041.0,JetHT_Run2017F
37216,409070255.0,223.0,306041.0,JetHT_Run2017F
37217,408910523.0,223.0,306041.0,JetHT_Run2017F
37218,409035235.0,223.0,306041.0,JetHT_Run2017F
37219,409249423.0,223.0,306041.0,JetHT_Run2017F
37220,410060788.0,224.0,306041.0,JetHT_Run2017F
37221,424992221.0,231.0,306041.0,JetHT_Run2017F
37222,16355684.0,9.0,306041.0,JetHT_Run2017F
37223,20803290.0,11.0,306041.0,JetHT_Run2017F
37224,20883520.0,11.0,306041.0,JetHT_Run2017F
37225,23507296.0,12.0,306041.0,JetHT_Run2017F
37226,21880232.0,12.0,306041.0,JetHT_Run2017F
37227,25746868.0,13.0,306041.0,JetHT_Run2017F
37672,235650956.0,180.0,306095.0,JetHT_Run2017F
37673,238853593.0,182.0,306095.0,JetHT_Run2017F
37674,241215766.0,184.0,306095.0,JetHT_Run2017F
37675,249834390.0,192.0,306095.0,JetHT_Run2017F
37676,249854677.0,192.0,306095.0,JetHT_Run2017F
37677,262314475.0,202.0,306095.0,JetHT_Run2017F
37678,266501682.0,205.0,306095.0,JetHT_Run2017F
37679,268637377.0,207.0,306095.0,JetHT_Run2017F
37680,272965265.0,210.0,306095.0,JetHT_Run2017F
37681,273174978.0,211.0,306095.0,JetHT_Run2017F
37682,276021512.0,213.0,306095.0,JetHT_Run2017F
37683,279054502.0,215.0,306095.0,JetHT_Run2017F
37684,363579415.0,285.0,306095.0,JetHT_Run2017F
37685,196425245.0,149.0,306095.0,JetHT_Run2017F
37686,200318572.0,152.0,306095.0,JetHT_Run2017F
37687,201212799.0,153.0,306095.0,JetHT_Run2017F
37688,206910380.0,157.0,306095.0,JetHT_Run2017F
37689,207183073.0,158.0,306095.0,JetHT_Run2017F
37690,211228114.0,161.0,306095.0,JetHT_Run2017F
37691,213440805.0,162.0,306095.0,JetHT_Run2017F
37692,214938304.0,164.0,306095.0,JetHT_Run2017F
37693,221525542.0,169.0,306095.0,JetHT_Run2017F
37694,222600849.0,170.0,306095.0,JetHT_Run2017F
37695,222641262.0,170.0,306095.0,JetHT_Run2017F
